Attack Goal,Scenario,PrMax,Impact Monetary,Monetary,Monetary Risk,Impact Privacy,Privacy,Privacy Risk,Impact Integrity,Integrity,Integrity Risk,Impact Trust,Trust,Trust Risk
G1,S1,9,1,9,accept,2,18,accept,0,0,accept,1,9,accept
G1,S3,7,1,7,accept,2,14,accept,0,0,accept,1,7,accept
G1,S4,8,1,8,accept,2,16,accept,0,0,accept,1,8,accept
G1,S7,6,1,6,accept,2,12,accept,0,0,accept,1,6,accept
G1,S8,7,1,7,accept,2,14,accept,0,0,accept,1,7,accept
G1,S10,4,1,4,accept,2,8,accept,0,0,accept,1,4,accept
G1,S12,5,1,5,accept,2,10,accept,0,0,accept,1,5,accept
G1,S20,6,1,6,accept,2,12,accept,0,0,accept,1,6,accept
G2,S1,9,2,18,accept,3,27,manage,0,0,accept,2,18,accept
G2,S3,7,2,14,accept,3,21,accept,0,0,accept,2,14,accept
G2,S4,7,2,14,accept,3,21,accept,0,0,accept,2,14,accept
G2,S7,6,2,12,accept,3,18,accept,0,0,accept,2,12,accept
G2,S8,7,2,14,accept,3,21,accept,0,0,accept,2,14,accept
G2,S10,5,2,10,accept,3,15,accept,0,0,accept,2,10,accept
G2,S12,5,2,10,accept,3,15,accept,0,0,accept,2,10,accept
G2,S20,6,2,12,accept,3,18,accept,0,0,accept,2,12,accept
G3,S1,8,3,24,manage,2,16,accept,4,32,manage,4,32,manage
G3,S10,8,3,24,manage,2,16,accept,4,32,manage,4,32,manage
G3,S11,11,3,33,manage,2,22,accept,4,44,refuse,4,44,refuse
G3,S14,7,3,21,accept,2,14,accept,4,28,manage,4,28,manage
G3,S15,5,3,15,accept,2,10,accept,4,20,accept,4,20,accept
G3,S16,5,3,15,accept,2,10,accept,4,20,accept,4,20,accept
G3,S17,6,3,18,accept,2,12,accept,4,24,manage,4,24,manage
G3,S18,7,3,21,accept,2,14,accept,4,28,manage,4,28,manage
G3,S19,6,3,18,accept,2,12,accept,4,24,manage,4,24,manage
G3,S21,8,3,24,manage,2,16,accept,4,32,manage,4,32,manage
G4,S1,10,3,30,manage,0,0,accept,2,20,accept,3,30,manage
G4,S2,12,3,36,refuse,0,0,accept,2,24,manage,3,36,refuse
G4,S5,7,3,21,accept,0,0,accept,2,14,accept,3,21,accept
G4,S6,5,3,15,accept,0,0,accept,2,10,accept,3,15,accept
G4,S7,7,3,21,accept,0,0,accept,2,14,accept,3,21,accept
G4,S8,7,3,21,accept,0,0,accept,2,14,accept,3,21,accept
G4,S9,6,3,18,accept,0,0,accept,2,12,accept,3,18,accept
G4,S10,7,3,21,accept,0,0,accept,2,14,accept,3,21,accept
G4,S11,10,3,30,manage,0,0,accept,2,20,accept,3,30,manage
G4,S12,6,3,18,accept,0,0,accept,2,12,accept,3,18,accept
G4,S13,6,3,18,accept,0,0,accept,2,12,accept,3,18,accept
G4,S14,7,3,21,accept,0,0,accept,2,14,accept,3,21,accept
G4,S15,6,3,18,accept,0,0,accept,2,12,accept,3,18,accept
G4,S16,5,3,15,accept,0,0,accept,2,10,accept,3,15,accept
G4,S17,5,3,15,accept,0,0,accept,2,10,accept,3,15,accept
G4,S18,9,3,27,manage,0,0,accept,2,18,accept,3,27,manage
G4,S19,6,3,18,accept,0,0,accept,2,12,accept,3,18,accept
G4,S21,8,3,24,manage,0,0,accept,2,16,accept,3,24,manage
G4,S22,11,3,33,manage,0,0,accept,2,22,accept,3,33,manage
G5,S1,10,2,20,accept,0,0,accept,3,30,manage,3,30,manage
G5,S2,12,2,24,manage,0,0,accept,3,36,refuse,3,36,refuse
G5,S5,6,2,12,accept,0,0,accept,3,18,accept,3,18,accept
G5,S6,5,2,10,accept,0,0,accept,3,15,accept,3,15,accept
G5,S7,7,2,14,accept,0,0,accept,3,21,accept,3,21,accept
G5,S8,7,2,14,accept,0,0,accept,3,21,accept,3,21,accept
G5,S9,5,2,10,accept,0,0,accept,3,15,accept,3,15,accept
G5,S10,4,2,8,accept,0,0,accept,3,12,accept,3,12,accept
G5,S11,11,2,22,accept,0,0,accept,3,33,manage,3,33,manage
G5,S12,6,2,12,accept,0,0,accept,3,18,accept,3,18,accept
G5,S13,5,2,10,accept,0,0,accept,3,15,accept,3,15,accept
G5,S14,8,2,16,accept,0,0,accept,3,24,manage,3,24,manage
G5,S15,4,2,8,accept,0,0,accept,3,12,accept,3,12,accept
G5,S16,4,2,8,accept,0,0,accept,3,12,accept,3,12,accept
G5,S17,5,2,10,accept,0,0,accept,3,15,accept,3,15,accept
G5,S18,8,2,16,accept,0,0,accept,3,24,manage,3,24,manage
G5,S19,4,2,8,accept,0,0,accept,3,12,accept,3,12,accept
G5,S21,7,2,14,accept,0,0,accept,3,21,accept,3,21,accept
G5,S22,12,2,24,manage,0,0,accept,3,36,refuse,3,36,refuse
