quest,Choice_US_Car,Choice_US_Train,Car_Cost,Car_TT,Train_Cost,Train_TT
1,1,0,118,420,92,705
2,0,1,118,465,92,705
3,1,0,130,510,74,547
4,0,1,165,420,115,862
5,1,0,165,465,92,705
6,0,1,130,420,115,862
7,0,1,118,465,92,705
8,0,1,118,465,74,547
9,0,1,165,510,92,705
10,0,1,130,465,92,705
11,0,1,118,420,74,547
12,0,1,165,510,92,705
13,1,0,118,420,115,862
14,1,0,130,510,92,705
15,1,0,118,420,74,547
16,1,0,130,420,92,705
17,0,1,118,510,115,862
18,0,1,118,420,74,547
19,0,1,165,510,115,862
20,0,1,130,465,92,705
21,0,1,118,420,74,547
22,0,1,118,510,115,862
23,0,1,130,510,74,547
24,0,1,118,420,115,862
25,0,1,165,465,92,705
26,1,0,130,465,115,862
27,0,1,165,510,92,705
28,0,1,165,465,74,547
29,1,0,118,510,74,547
30,0,1,118,510,74,547
31,0,1,130,465,115,862
32,0,1,165,420,92,705
33,0,1,165,465,92,705
34,0,1,130,420,74,547
35,0,1,118,510,115,862
36,0,1,165,465,74,547
37,0,1,165,510,74,547
38,0,1,118,465,92,705
39,1,0,130,465,92,705
40,1,0,165,510,115,862
41,1,0,118,420,74,547
42,0,1,118,465,92,705
43,1,0,118,420,115,862
44,1,0,165,510,92,705
45,1,0,130,465,74,547
46,1,0,165,465,92,705
47,1,0,130,420,115,862
48,1,0,118,510,74,547
49,1,0,130,510,74,547
50,1,0,118,465,92,705
51,1,0,165,420,115,862
52,0,1,118,465,115,862
53,0,1,130,465,74,547
54,0,1,165,420,115,862
55,0,1,118,420,74,547
56,1,0,130,465,74,547
57,0,1,118,465,115,862
58,0,1,165,510,92,705
59,1,0,118,420,74,547
